Hospital,Province,Latitude,Longitude,Active in 2023?,Clinical capacity,Beds
Özel Lösante Çocuk ve Yetişkin Hastanesi,Ankara,39.8331358,32.7193613,3,3,400
Özel Marmaris Yücelen Hastanesi,Muğla,36.8816998,28.2652477,3,2,75
Özel Mecidiyeköy Çevre Hastanesi,Şişli,41.0672870,29.0014322,3,2,43
Özel Medar Hastanesi Sakarya,Sakarya,40.7605915,30.3623007,3,3,108
Özel Medicalpark Adana Hastanesi,Adana,36.9942796,35.3241398,3,3,153
Özel Medicana international Hastanesi,Ankara,41.0129266,28.6450143,3,3,196
Özel Medicana Ataköy Hastanesi,Ataköy,40.9762366,28.8561795,3,3,250
Özel Medicana Ataşehir Hastanesi,Ataşehir,40.9835591,29.1066701,3,3,218
Özel Medicana International İzmir Hastanesi,Bayraklı,38.4294823,27.1571947,3,3,240
Özel Medicana Zincirlikuyu Hastanesi,Şişli,41.0714588,29.0152780,3,3,100
Özel Medikar Hastanesi,Karabük,41.2164205,32.6478475,3,3,134
Özel Medikent Hastanesi,Lüleburgaz,41.4077683,27.3327074,3,3,100
Özel Medipol Mega Hastaneler Kompleksi,Bağcılar,41.0586963,28.8428424,3,3,810
Özel Medistate Kavacık Hastanesi,Kavacık,41.0941051,29.1013703,3,3,113
Özel Medline Hastanesi Adana,Adana,37.0532869,35.2545484,3,3,176
Özel Memorial Ankara Hastanesi,Çankaya,39.9035921,32.8149693,3,3,230
Özel Memorial Antalya Hastanesi,Kepez,36.9174663,30.6936215,3,3,114
Özel Memorial Ataşehir Hastanesi,Ataşehir,40.9843955,29.1068353,3,3,143
Özel Memorial Bahçelievler Hastanesi,Bahçelievler,40.9928900,28.8530119,3,3,320
Özel Muğla Yücelen Hastanesi,Muğla,37.1772200,28.3720200,3,3,106
Özel Optimed International Çorlu Hastanesi,Çorlu,41.1506008,27.8298391,3,2,75
Özel Ordu Medical Park Hastanesi,Ordu,40.9782940,37.9052116,3,3,216
Özel Ordu Umut Hastanesi,Ordu,40.9782940,37.8938165,3,2,90
Özel Ortaca Yücelen Hastanesi,Ortaca,36.8450723,28.7683703,3,2,33
Özel Ota-Jinemed Hastanesi,Beşiktaş,41.0487229,29.0004491,3,2,90
Özel Parkhayat Hastanesi,Afyonkarahisar,38.7736593,30.5090687,3,3,152
Özel Rami Hastanesi,Eyüpsultan,41.0480215,28.9201464,3,2,74
Özel Samsun Büyük Anadolu Hastanesi,Samsun,41.2871065,36.3317566,3,2,75
Özel Samsun VM Medical Park Hastanesi,Samsun,41.3335416,36.2716108,3,3,307
Özel Şişli Kolan İnternational Hospital Hastanesi,Şişli,41.0646980,28.9803494,3,3,174
Özel Trabzon Medical Park Karadeniz Hastanesi,Trabzon,40.9995871,39.7002898,3,3,131
Özel Türkiye Gazetesi Hastanesi,Şişli,38.6308702,34.7379516,3,3,108
Özel Versa Hastanesi,Nevşehir,38.6308702,34.7379516,3,2,54
Özel VM Medical Park Maltepe Hastanesi,Maltepe,40.9170475,29.1454367,3,3,140
Özel VM Medical Park Pendik Hastanesi,Pendik,40.8809170,29.2563492,3,3,505
Özel Yenibosna Safa Hastanesi,Bahçelievler,40.9992799,28.8384583,3,3,114
Özel Yüzüncüyıl Hastanesi,Kayseri ,39.8921662,32.8102507,3,2,76
Private Kayseri Tekden Hospital,Kayseri,38.7227030,35.4825818,3,3,174
Yeditepe Üniversitesi Sağlık Hizmetleri Eğitim Ve Araştırma Uygulama Merkezi,Kadıköy,41.0021007,29.0375391,3,3,184
İskenderun Devlet Hastanesi,Hatay,36.5687414,36.1661404,1,2,31
Hatay Eğitim ve Araştırma Hastanesi,Antakya/Hatay,36.2507678,36.1568134,1,3,550
Hatay Dörtyol State Hospital,Hatay,36.8284,36.215,2,3,250
Arsuz Devlet Hastanesi,Hatay,36.4037096,35.8764259,3,3,75
Ozel Markasi Hastanesi,Kahramanmaraş,37.5703039,36.9591998,3,3,124
Bossan Hospital,Gaziantep,37.0867914,37.4262962,3,3,500
Anka Hastanesi,Gaziantep,37.0868994,37.3960177,3,3,150
GAZİANTEP İL SAĞLIK MÜDÜRLÜĞÜ ŞEHİTKAMİL DEVLET HASTANESİ,Gaziantep,37.0893783,37.3640878,3,3,300
Defa Life Hastanesi,Gaziantep,37.0271346,37.3308881,3,3,75
ŞAHİNBEY ARAŞTIRMA ve UYGULAMA HASTANESİ,Gaziantep,37.0407789,37.3195670,3,3,140
Kemal bayindir Private Hastanesi,Gaziantep,37.0476940,37.3321462,3,2,50
NURDAĞI İLÇE DEVLET HASTANESİ,Gaziantep,37.1872820,36.7319255,0,2,75
BAHÇE DEVLET HASTANESİ,Osmaniye,37.2008568,36.5703454,0,2,50
Samandag Devlet HAstanesi,Hatay,36.0888800,36.0086408,2,2,70
KIRIKHAN DEVLET HASTANESİ,Hatay,36.4886071,36.3360111,1,1,150
Reyhanlı Devlet Hastanesi,Hatay,36.2428628,36.5608224,0,3,150
MMT american private hospital,Gaziantep,36.2417586,36.5570941,0,3,111
Araban İlçe Devlet Hastanesi,Gaziantep,37.4186426,37.6811911,0,3,100
Adıyaman Üniversitesi Eğitim Ve Araştırma Hastanesi,Adıyaman,37.7676018,38.3228875,2,3,180
Derik State Hospital,Mardin,37.3728318,40.2714003,2,,50
Hôpital Mémorial Diyarbakir,Diyarbakir,37.9360445,40.1878607,3,3,141
