time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-07T03:08:57.248Z,37.917,37.6406,10,4.8,mwr,102,55,0.717,0.73,us,us6000jm5c,2023-04-18T21:46:04.040Z,"14 km N of Gölba??, Turkey",earthquake,4.88,1.854,0.057,30,reviewed,us,us
2023-02-07T02:47:37.074Z,35.9675,35.9849,10,4.7,mwr,109,47,1.555,0.88,us,us6000jm55,2023-04-15T21:39:42.040Z,"10 km NW of Yaylada??, Turkey",earthquake,5.33,1.839,0.068,21,reviewed,us,us
2023-02-06T23:29:14.993Z,35.6037,35.3598,10.855,4.5,mwr,81,43,1.779,0.56,us,us6000jm3x,2023-04-15T21:39:41.040Z,"39 km WNW of Latakia, Syria",earthquake,5.02,2.721,0.08,15,reviewed,us,us
2023-02-06T21:57:43.529Z,38.032,36.5882,9.855,4.7,mwr,166,27,0.398,0.58,us,us6000jm3c,2023-04-15T21:39:40.040Z,"8 km E of Göksun, Turkey",earthquake,5.55,1.946,0.053,34,reviewed,us,us
2023-02-06T21:15:18.245Z,38.072,37.034,10.235,4.9,mwr,135,47,0.589,0.66,us,us6000jm30,2023-04-15T21:39:40.040Z,"13 km W of Ekinözü, Turkey",earthquake,4.77,3.056,0.052,35,reviewed,us,us
2023-02-06T21:02:06.978Z,36.7444,36.4904,19.625,4.5,mb,80,68,0.717,0.78,us,us6000jm2x,2023-04-15T21:39:40.040Z,"6 km SSW of Hassa, Turkey",earthquake,4.85,4.269,0.076,50,reviewed,us,us
2023-02-06T20:53:24.379Z,38.2106,38.2511,10,4.8,mwr,115,32,0.891,0.9,us,us6000jm2v,2023-04-15T21:39:40.040Z,"9 km S of Ye?ilyurt, Turkey",earthquake,4.01,1.805,0.083,14,reviewed,us,us
2023-02-06T20:44:00.230Z,38.0063,36.5773,10,4.8,mwr,93,30,0.419,0.67,us,us6000jm2t,2023-04-15T21:39:40.040Z,"Central Turkey",earthquake,2.29,1.795,0.063,24,reviewed,us,us
2023-02-06T20:40:06.434Z,38.2636,37.9916,10,4.9,mb,44,68,1.052,0.76,us,us6000jnut,2024-01-18T19:19:20.916Z,"8 km SSE of Ak?ada?, Turkey",earthquake,3.2,1.839,0.112,25,reviewed,us,us
2023-02-06T20:37:51.879Z,37.2507,37.0859,10,5.3,mww,137,34,0.126,0.76,us,us6000jm2r,2023-04-15T21:39:40.040Z,"32 km SW of Pazarc?k, Turkey",earthquake,2.81,1.754,0.071,19,reviewed,us,us
2023-02-06T20:05:35.045Z,38.0339,36.3096,10,4.8,mwr,91,35,0.382,0.83,us,us6000jm29,2023-04-15T21:39:40.040Z,"Adana, Turkey",earthquake,4.33,1.81,0.06,27,reviewed,us,us
2023-02-06T19:25:01.538Z,37.8505,36.6645,10,4.5,mb,36,44,0.37,0.8,us,us6000jnuz,2023-04-15T21:40:04.040Z,"23 km SE of Göksun, Turkey",earthquake,4.6,1.422,0.156,12,reviewed,us,us
2023-02-06T18:03:53.807Z,37.9781,36.4456,10,5.2,mww,119,20,0.405,0.76,us,us6000jm1p,2024-01-18T19:19:16.453Z,"6 km SW of G?ksun, Turkey",earthquake,4.96,1.324,0.098,10,reviewed,us,us
2023-02-06T17:46:49.824Z,38.0881,37.8449,10,4.5,mb,72,83,1.044,1.12,us,us6000jm13,2023-04-15T21:39:39.040Z,"Central Turkey",earthquake,3.39,1.754,0.098,30,reviewed,us,us
2023-02-06T17:31:34.269Z,37.0895,36.7386,10,4.5,mwr,83,57,0.385,1.12,us,us6000jly1,2023-04-15T21:39:39.040Z,"8 km S of Nurda??, Turkey",earthquake,5.63,1.849,0.071,19,reviewed,us,us
2023-02-06T17:26:24.481Z,38.097,36.696,10,4.5,mwr,99,33,0.379,0.85,us,us6000jlwh,2023-04-15T21:39:39.040Z,"19 km ENE of Göksun, Turkey",earthquake,4.12,1.799,0.06,27,reviewed,us,us
2023-02-06T16:55:35.783Z,38.0112,37.4148,9.152,4.5,mb,110,56,0.853,0.57,us,us6000jlth,2023-04-15T21:39:39.040Z,"5 km NNW of Nurhak, Turkey",earthquake,3.83,4.113,0.073,55,reviewed,us,us
2023-02-06T16:43:28.541Z,38.0007,36.5078,10,5,mwr,128,33,0.412,0.88,us,us6000jlta,2023-04-15T21:39:39.040Z,"2 km SSE of Göksun, Turkey",earthquake,2.97,1.831,0.073,18,reviewed,us,us
2023-02-06T16:32:11.661Z,36.6625,36.4828,10,4.9,mb,128,68,0.773,0.91,us,us6000jlt7,2023-04-15T21:39:39.040Z,"14 km SSW of A?a?? Karafak?l?, Turkey",earthquake,4.88,1.816,0.053,110,reviewed,us,us
2023-02-06T16:28:08.698Z,37.4633,36.981,5.178,4.7,mb,57,66,0.343,0.92,us,us6000jnu7,2023-04-15T21:40:03.040Z,"14 km SSE of Kahramanmara?, Turkey",earthquake,5.05,4.494,0.096,33,reviewed,us,us
2023-02-06T16:27:19.276Z,38.0468,36.4364,10,4.7,mwr,34,82,0.36,0.82,us,us6000jnwy,2023-04-15T21:40:06.040Z,"6 km WNW of Göksun, Turkey",earthquake,2.34,1.922,0.093,11,reviewed,us,us
2023-02-06T16:26:39.507Z,38.0385,36.5982,10,4.8,mb,104,28,0.394,0.65,us,us6000jlt1,2023-04-15T21:39:39.040Z,"9 km ENE of Göksun, Turkey",earthquake,5.02,1.832,0.054,107,reviewed,us,us
2023-02-06T16:26:15.464Z,37.9826,36.8994,10,4.6,mb,122,44,0.569,0.58,us,us6000jlt5,2023-04-15T21:39:39.040Z,"26 km WSW of Ekinözü, Turkey",earthquake,2.78,1.812,0.064,72,reviewed,us,us
2023-02-06T16:10:43.265Z,36.1064,35.7822,10,4.5,mb,47,54,1.565,0.7,us,us6000jlt0,2023-04-15T21:39:38.040Z,"23 km W of Uzunba?, Turkey",earthquake,2.92,1.86,0.106,26,reviewed,us,us
2023-02-06T15:33:32.721Z,38.19,38.1756,7.43,5.4,mwr,112,29,1.273,0.8,us,us6000jlsu,2023-04-15T21:39:38.040Z,"eastern Turkey",earthquake,5.06,1.918,0.08,15,reviewed,us,us
2023-02-06T15:14:34.402Z,37.8791,37.7355,10,4.9,mwr,132,28,0.82,0.82,us,us6000jlsq,2023-04-15T21:39:38.040Z,"13 km NE of Gölba??, Turkey",earthquake,5.22,1.804,0.063,24,reviewed,us,us
2023-02-06T14:41:57.177Z,38.1782,37.7439,10,4.5,mb,60,65,1.068,1.16,us,us6000jlsj,2023-04-15T21:39:38.040Z,"15 km NW of Do?an?ehir, Turkey",earthquake,3.68,1.899,0.113,23,reviewed,us,us
2023-02-06T14:33:07.461Z,38.0365,37.8572,10,4.5,mb,39,83,0.968,0.54,us,us6000jntw,2023-04-15T21:40:03.040Z,"5 km SSW of Do?an?ehir, Turkey",earthquake,2.38,1.656,0.191,8,reviewed,us,us
2023-02-06T14:29:57.853Z,37.9977,36.4927,10,4.7,mb,104,39,0.413,0.89,us,us6000jlsf,2023-04-15T21:39:38.040Z,"2 km S of Göksun, Turkey",earthquake,3.64,1.831,0.066,70,reviewed,us,us
2023-02-06T14:27:43.394Z,36.8097,36.5387,10,4.5,mb,78,60,0.648,0.68,us,us6000jlse,2023-04-15T21:39:38.040Z,"2 km ENE of Hassa, Turkey",earthquake,1.71,1.83,0.076,51,reviewed,us,us
2023-02-06T14:10:09.968Z,37.7257,37.385,10,4.5,mb,102,66,0.57,0.87,us,us6000jlsb,2023-04-15T21:39:38.040Z,"8 km ESE of Ça?layancerit, Turkey",earthquake,5.75,1.875,0.075,52,reviewed,us,us
2023-02-06T13:44:51.298Z,37.9405,37.4916,16.865,5,mb,106,64,0.799,0.71,us,us6000jls6,2023-04-15T21:39:38.040Z,"5 km ESE of Nurhak, Turkey",earthquake,3.9,3.84,0.055,105,reviewed,us,us
2023-02-06T13:39:24.254Z,38.0166,37.7013,10,5.3,mb,221,33,0.929,1.23,us,us6000jls3,2023-04-15T21:39:37.040Z,"16 km WSW of Do?an?ehir, Turkey",earthquake,5.36,1.802,0.044,176,reviewed,us,us
2023-02-06T13:31:39.632Z,36.3959,36.3691,10,4.5,mb,33,103,1.027,0.62,us,us6000jntn,2023-04-15T21:40:02.040Z,"6 km NW of Uzunkavak, Turkey",earthquake,5.39,1.915,0.135,16,reviewed,us,us
2023-02-06T13:17:42.209Z,37.9951,36.3843,10,4.9,mb,106,30,0.412,0.78,us,us6000jls0,2023-04-15T21:39:37.040Z,"10 km WSW of Göksun, Turkey",earthquake,5.62,1.798,0.057,98,reviewed,us,us
2023-02-06T13:14:01.462Z,37.8011,37.9066,14.619,4.5,mb,33,105,0.81,0.91,us,us6000jntl,2023-04-15T21:40:02.040Z,"1 km NW of Tut, Turkey",earthquake,4.71,4.474,0.131,17,reviewed,us,us
2023-02-06T13:12:27.843Z,37.9077,36.5237,10,4.8,mb,50,81,1.082,0.61,us,us6000jnvk,2023-04-15T21:40:04.040Z,"12 km S of Göksun, Turkey",earthquake,5.57,1.857,0.118,22,reviewed,us,us
2023-02-06T13:11:56.990Z,38.0104,36.6564,10,4.7,mb,61,42,0.945,0.74,us,us6000jlry,2023-04-15T21:39:37.040Z,"14 km E of Göksun, Turkey",earthquake,3.29,1.835,0.086,41,reviewed,us,us
2023-02-06T13:09:21.093Z,36.2541,36.2923,10,4.6,mb,42,102,1.176,0.83,us,us6000jntm,2023-04-15T21:40:02.040Z,"4 km E of Kastal, Turkey",earthquake,2.8,1.895,0.113,23,reviewed,us,us
2023-02-06T13:07:45.076Z,38.0384,37.371,16.904,5,mb,114,56,0.836,0.67,us,us6000jlrv,2023-04-15T21:39:37.040Z,"Central Turkey",earthquake,2.07,3.632,0.053,115,reviewed,us,us
2023-02-06T13:06:39.750Z,37.991,37.2762,19.665,4.5,mb,57,60,0.794,0.94,us,us6000jnu4,2023-04-15T21:40:03.040Z,"10 km SE of Ekinözü, Turkey",earthquake,4.47,4.524,0.108,25,reviewed,us,us
2023-02-06T13:03:17.843Z,37.9978,37.4732,9.48,4.6,mb,80,77,0.85,0.8,us,us6000jntk,2023-04-15T21:40:02.040Z,"4 km NE of Nurhak, Turkey",earthquake,5.47,4.502,0.085,41,reviewed,us,us
2023-02-06T13:00:18.127Z,38.1156,36.6841,10,4.5,mb,34,97,0.986,0.59,us,us6000jlrt,2023-04-15T21:39:37.040Z,"19 km ENE of Göksun, Turkey",earthquake,4.59,1.804,0.118,21,reviewed,us,us
2023-02-06T12:54:39.920Z,38.0519,36.864,18.833,4.6,mb,77,48,0.499,0.38,us,us6000jlrq,2023-04-15T21:39:37.040Z,"22 km SSW of Af?in, Turkey",earthquake,4.11,4.53,0.085,41,reviewed,us,us
2023-02-06T12:36:33.066Z,37.9664,37.7885,10,4.6,mb,65,85,0.917,0.69,us,us6000jlrk,2023-04-15T21:39:37.040Z,"Central Turkey",earthquake,4.82,1.852,0.102,29,reviewed,us,us
2023-02-06T12:34:43.513Z,38.0972,38.2339,14.471,4.9,mb,65,40,0.804,0.37,us,us6000jlrj,2023-04-15T21:39:37.040Z,"7 km N of Çelikhan, Turkey",earthquake,3.35,4.518,0.087,42,reviewed,us,us
2023-02-06T12:13:48.646Z,37.9248,37.3761,17.77,4.7,mb,87,66,0.763,0.38,us,us6000jlrg,2023-04-15T21:39:37.040Z,"7 km SW of Nurhak, Turkey",earthquake,3.3,4,0.063,78,reviewed,us,us
2023-02-06T12:02:11.275Z,38.0582,36.5114,8.516,6,mb,138,25,0.356,0.54,us,us6000jlrc,2023-04-15T21:39:37.040Z,"4 km NNE of Göksun, Turkey",earthquake,4.32,3.954,0.024,647,reviewed,us,us
2023-02-06T11:58:37.429Z,38.0509,37.5686,15.351,4.7,mb,77,73,0.922,0.51,us,us6000jlrb,2023-04-15T21:39:37.040Z,"14 km NE of Nurhak, Turkey",earthquake,3.81,3.359,0.066,70,reviewed,us,us
2023-02-06T11:51:22.063Z,38.016,37.7225,16.818,4.5,mb,59,82,0.936,0.58,us,us6000jm76,2024-01-18T19:19:13.495Z,"15 km WSW of Do?an?ehir, Turkey",earthquake,3.97,4.26,0.093,34,reviewed,us,us
2023-02-06T11:50:04.398Z,37.9721,36.3402,5.716,4.5,mb,60,52,0.391,0.34,us,us6000jlra,2023-04-15T21:39:37.040Z,"14 km WSW of Göksun, Turkey",earthquake,4.22,4.533,0.096,32,reviewed,us,us
2023-02-06T11:39:41.665Z,38.0622,36.5678,11.405,4.8,mb,75,41,0.364,0.56,us,us6000jlr7,2023-04-15T21:39:37.040Z,"7 km NE of Göksun, Turkey",earthquake,3.88,4.525,0.07,62,reviewed,us,us
2023-02-06T11:35:28.583Z,37.9417,37.351,17.733,4.5,mb,95,64,0.776,0.41,us,us6000jlr9,2023-04-15T21:39:37.040Z,"Central Turkey",earthquake,4.43,4.246,0.074,54,reviewed,us,us
2023-02-06T11:11:40.849Z,37.9593,37.3732,10,4.9,mb,56,65,0.797,0.64,us,us6000jlqx,2023-04-15T21:39:36.040Z,"5 km W of Nurhak, Turkey",earthquake,3.8,1.888,0.078,52,reviewed,us,us
2023-02-06T11:05:35.084Z,38.0752,36.7588,5.968,5.1,mb,86,68,0.426,0.61,us,us6000jlqr,2023-04-15T21:39:36.040Z,"23 km SW of Af?in, Turkey",earthquake,5.12,4.724,0.071,64,reviewed,us,us
2023-02-06T11:01:36.485Z,37.8259,37.4436,13.77,4.8,mb,50,50,0.679,0.57,us,us6000jlqy,2023-04-15T21:39:37.040Z,"15 km S of Nurhak, Turkey",earthquake,5.37,3.889,0.109,26,reviewed,us,us
2023-02-06T10:56:24.688Z,37.9728,37.3801,10,4.6,mb,29,96,0.811,0.71,us,us6000jnt4,2023-04-15T21:40:02.040Z,"5 km W of Nurhak, Turkey",earthquake,4.71,1.926,0.222,6,reviewed,us,us
2023-02-06T10:51:30.994Z,38.248,38.1847,10,5.7,mb,96,42,0.95,0.97,us,us6000jlql,2023-04-15T21:39:36.040Z,"7 km SW of Ye?ilyurt, Turkey",earthquake,4.74,1.773,0.047,158,reviewed,us,us
2023-02-06T10:50:56.892Z,37.6189,37.9263,10,4.6,mb,52,108,0.724,0.89,us,us6000jlqm,2023-04-15T21:39:36.040Z,"Central Turkey",earthquake,5.43,1.892,0.132,17,reviewed,us,us
2023-02-06T10:47:41.873Z,38.0443,36.644,10,4.7,mb,46,54,0.404,0.97,us,us6000jnw7,2024-01-18T19:19:12.011Z,"13 km ENE of G?ksun, Turkey",earthquake,4.77,1.859,0.196,12,reviewed,us,us
2023-02-06T10:46:56.782Z,38.039,36.8385,10,4.7,mb,48,55,0.495,0.55,us,us6000jnt5,2023-04-15T21:40:02.040Z,"24 km SSW of Af?in, Turkey",earthquake,5.24,1.793,0.175,14,reviewed,us,us
2023-02-06T10:44:46.950Z,38.034,37.7967,11.982,4.6,mb,37,82,0.979,1.06,us,us6000jnu5,2023-04-15T21:40:03.040Z,"8 km SW of Do?an?ehir, Turkey",earthquake,3.07,4.384,0.183,12,reviewed,us,us
2023-02-06T10:38:57.715Z,37.8722,37.3582,10,4.5,mb,37,140,0.855,0.75,us,us6000jnwk,2023-04-15T21:40:05.040Z,"12 km SW of Nurhak, Turkey",earthquake,5.18,1.64,0.14,17,reviewed,us,us
2023-02-06T10:35:58.161Z,38.0249,37.8023,10,5.8,mb,109,56,0.973,0.9,us,us6000jlqe,2023-04-15T21:39:36.040Z,"9 km SW of Do?an?ehir, Turkey",earthquake,4.5,1.797,0.051,141,reviewed,us,us
2023-02-06T10:32:08.932Z,37.9962,37.2033,14.057,5.4,mb,44,66,0.742,0.98,us,us6000jnt0,2023-04-15T21:40:02.040Z,"7 km S of Ekinözü, Turkey",earthquake,4.09,3.651,0.176,20,reviewed,us,us
2023-02-06T10:26:46.742Z,38.0315,38.0984,10,6,mb,65,63,1.111,0.88,us,us6000jm1y,2024-03-03T05:22:03.358Z,"12 km W of Çelikhan, Turkey",earthquake,4.28,1.605,0.081,57,reviewed,us,us
2023-02-06T10:24:48.811Z,38.0106,37.1962,7.432,7.5,mww,111,29,0.73,0.7,us,us6000jlqa,2024-12-19T18:13:06.620Z,"Elbistan earthquake, Kahramanmaras earthquake sequence",earthquake,5.09,3.709,0.041,58,reviewed,us,us
2023-02-06T10:07:31.339Z,35.8319,36.162,10,4.6,mb,43,202,1.582,0.97,us,us6000jlqc,2024-01-18T19:19:10.527Z,"11 km SE of Yaylada??, Turkey",earthquake,6.45,1.899,0.1,30,reviewed,us,us
2023-02-06T09:23:45.448Z,36.9214,36.427,10,4.6,mb,51,55,0.661,0.97,us,us6000jlq1,2023-04-15T21:39:36.040Z,"15 km NNW of Hassa, Turkey",earthquake,2.89,1.847,0.081,46,reviewed,us,us
2023-02-06T09:21:01.495Z,37.7583,37.9812,17.065,4.5,mb,52,64,0.739,0.91,us,us6000jlq2,2023-04-15T21:39:36.040Z,"7 km SE of Tut, Turkey",earthquake,4.13,3.52,0.115,22,reviewed,us,us
